workerID,domain,utterance,utteranceType,utteranceExact,utteranceRounded,state,stateType,stateRounded,stateProb,affectProb,order
2,watch,5001,sharp,4997,5000,5001,sharp,5000,0.081730769,0.55,13
2,watch,5001,sharp,4997,5000,10000,round,10000,0.076923077,0.55,13
2,watch,5001,sharp,4997,5000,10001,sharp,10000,0.067307692,0.55,13
2,electric kettle,10000,round,10000,10000,50,round,50,0.111650485,0.1,14
2,electric kettle,10000,round,10000,10000,51,sharp,50,0.121359223,0.1,14
2,electric kettle,10000,round,10000,10000,500,round,500,0.121359223,0.1,14
2,electric kettle,10000,round,10000,10000,501,sharp,500,0.126213592,0.1,14
2,electric kettle,10000,round,10000,10000,1000,round,1000,0.121359223,0.1,14
2,electric kettle,10000,round,10000,10000,1001,sharp,1000,0.097087379,0.1,14
2,electric kettle,10000,round,10000,10000,5000,round,5000,0.097087379,0.1,14
2,electric kettle,10000,round,10000,10000,5001,sharp,5000,0.077669903,0.1,14
2,electric kettle,10000,round,10000,10000,10000,round,10000,0.082524272,0.1,14
2,electric kettle,10000,round,10000,10000,10001,sharp,10000,0.04368932,0.1,14
2,watch,1000,round,1000,1000,50,round,50,0.145728643,0.525,15
2,watch,1000,round,1000,1000,51,sharp,50,0.120603015,0.525,15
2,watch,1000,round,1000,1000,500,round,500,0.125628141,0.525,15
2,watch,1000,round,1000,1000,501,sharp,500,0.115577889,0.525,15
2,watch,1000,round,1000,1000,1000,round,1000,0.100502513,0.525,15
2,watch,1000,round,1000,1000,1001,sharp,1000,0.100502513,0.525,15
2,watch,1000,round,1000,1000,5000,round,5000,0.100502513,0.525,15
2,watch,1000,round,1000,1000,5001,sharp,5000,0.095477387,0.525,15
2,watch,1000,round,1000,1000,10000,round,10000,0.075376884,0.525,15
2,watch,1000,round,1000,1000,10001,sharp,10000,0.020100503,0.525,15
3,laptop,10001,sharp,9997,10000,50,round,50,0.030075188,0.725,1
3,laptop,10001,sharp,9997,10000,51,sharp,50,0.052631579,0.725,1
3,laptop,10001,sharp,9997,10000,500,round,500,0.15037594,0.725,1
3,laptop,10001,sharp,9997,10000,501,sharp,500,0.105263158,0.725,1
3,laptop,10001,sharp,9997,10000,1000,round,1000,0.218045113,0.725,1
3,laptop,10001,sharp,9997,10000,1001,sharp,1000,0.263157895,0.725,1
3,laptop,10001,sharp,9997,10000,5000,round,5000,0.045112782,0.725,1
3,laptop,10001,sharp,9997,10000,5001,sharp,5000,0.037593985,0.725,1
3,laptop,10001,sharp,9997,10000,10000,round,10000,0.052631579,0.725,1
3,laptop,10001,sharp,9997,10000,10001,sharp,10000,0.045112782,0.725,1
3,laptop,10000,round,10000,10000,50,round,50,0.032,0.675,2
3,laptop,10000,round,10000,10000,51,sharp,50,0.024,0.675,2
3,laptop,10000,round,10000,10000,500,round,500,0.016,0.675,2
3,laptop,10000,round,10000,10000,501,sharp,500,0.04,0.675,2
3,laptop,10000,round,10000,10000,1000,round,1000,0.296,0.675,2
3,laptop,10000,round,10000,10000,1001,sharp,1000,0.272,0.675,2
3,laptop,10000,round,10000,10000,5000,round,5000,0.12,0.675,2
3,laptop,10000,round,10000,10000,5001,sharp,5000,0.12,0.675,2
3,laptop,10000,round,10000,10000,10000,round,10000,0.04,0.675,2
3,laptop,10000,round,10000,10000,10001,sharp,10000,0.04,0.675,2
3,laptop,51,sharp,49,50,50,round,50,0.037878788,0.55,3
