participant,domain,utterance,utteranceType,utteranceExact,utteranceRounded,state,stateType,stateRounded,stateProb,affectProb,order
2,electric kettle,10000,round,10000,10000,50,round,50,0.575,0.1,14
2,electric kettle,10000,round,10000,10000,51,sharp,50,0.625,0.1,14
2,electric kettle,10000,round,10000,10000,500,round,500,0.625,0.1,14
2,electric kettle,10000,round,10000,10000,501,sharp,500,0.65,0.1,14
2,electric kettle,10000,round,10000,10000,1000,round,1000,0.625,0.1,14
2,electric kettle,10000,round,10000,10000,1001,sharp,1000,0.5,0.1,14
2,electric kettle,10000,round,10000,10000,5000,round,5000,0.5,0.1,14
2,electric kettle,10000,round,10000,10000,5001,sharp,5000,0.4,0.1,14
2,electric kettle,10000,round,10000,10000,10000,round,10000,0.425,0.1,14
2,electric kettle,10000,round,10000,10000,10001,sharp,10000,0.225,0.1,14
2,watch,1000,round,1000,1000,50,round,50,0.725,0.525,15
2,watch,1000,round,1000,1000,51,sharp,50,0.6,0.525,15
2,watch,1000,round,1000,1000,500,round,500,0.625,0.525,15
2,watch,1000,round,1000,1000,501,sharp,500,0.575,0.525,15
2,watch,1000,round,1000,1000,1000,round,1000,0.5,0.525,15
2,watch,1000,round,1000,1000,1001,sharp,1000,0.5,0.525,15
2,watch,1000,round,1000,1000,5000,round,5000,0.5,0.525,15
2,watch,1000,round,1000,1000,5001,sharp,5000,0.475,0.525,15
2,watch,1000,round,1000,1000,10000,round,10000,0.375,0.525,15
2,watch,1000,round,1000,1000,10001,sharp,10000,0.1,0.525,15
3,laptop,10001,sharp,9997,10000,50,round,50,0.1,0.725,1
3,laptop,10001,sharp,9997,10000,51,sharp,50,0.175,0.725,1
3,laptop,10001,sharp,9997,10000,500,round,500,0.5,0.725,1
3,laptop,10001,sharp,9997,10000,501,sharp,500,0.35,0.725,1
3,laptop,10001,sharp,9997,10000,1000,round,1000,0.725,0.725,1
3,laptop,10001,sharp,9997,10000,1001,sharp,1000,0.875,0.725,1
3,laptop,10001,sharp,9997,10000,5000,round,5000,0.15,0.725,1
3,laptop,10001,sharp,9997,10000,5001,sharp,5000,0.125,0.725,1
3,laptop,10001,sharp,9997,10000,10000,round,10000,0.175,0.725,1
3,laptop,10001,sharp,9997,10000,10001,sharp,10000,0.15,0.725,1
3,laptop,10000,round,10000,10000,50,round,50,0.1,0.675,2
3,laptop,10000,round,10000,10000,51,sharp,50,0.075,0.675,2
3,laptop,10000,round,10000,10000,500,round,500,0.05,0.675,2
3,laptop,10000,round,10000,10000,501,sharp,500,0.125,0.675,2
3,laptop,10000,round,10000,10000,1000,round,1000,0.925,0.675,2
3,laptop,10000,round,10000,10000,1001,sharp,1000,0.85,0.675,2
3,laptop,10000,round,10000,10000,5000,round,5000,0.375,0.675,2
3,laptop,10000,round,10000,10000,5001,sharp,5000,0.375,0.675,2
3,laptop,10000,round,10000,10000,10000,round,10000,0.125,0.675,2
3,laptop,10000,round,10000,10000,10001,sharp,10000,0.125,0.675,2
3,laptop,51,sharp,49,50,50,round,50,0.125,0.55,3
3,laptop,51,sharp,49,50,51,sharp,50,0.2,0.55,3
3,laptop,51,sharp,49,50,500,round,500,0.625,0.55,3
3,laptop,51,sharp,49,50,501,sharp,500,0.5,0.55,3
3,laptop,51,sharp,49,50,1000,round,1000,0.7,0.55,3
3,laptop,51,sharp,49,50,1001,sharp,1000,0.775,0.55,3
3,laptop,51,sharp,49,50,5000,round,5000,0.15,0.55,3
3,laptop,51,sharp,49,50,5001,sharp,5000,0.075,0.55,3
3,laptop,51,sharp,49,50,10000,round,10000,0.075,0.55,3
3,laptop,51,sharp,49,50,10001,sharp,10000,0.075,0.55,3
3,watch,1001,sharp,999,1000,50,round,50,0.05,0.65,4
3,watch,1001,sharp,999,1000,51,sharp,50,0.05,0.65,4
3,watch,1001,sharp,999,1000,500,round,500,0.05,0.65,4
3,watch,1001,sharp,999,1000,501,sharp,500,0.65,0.65,4
3,watch,1001,sharp,999,1000,1000,round,1000,0.625,0.65,4
3,watch,1001,sharp,999,1000,1001,sharp,1000,0.9,0.65,4
3,watch,1001,sharp,999,1000,5000,round,5000,0.05,0.65,4
3,watch,1001,sharp,999,1000,5001,sharp,5000,0.175,0.65,4
3,watch,1001,sharp,999,1000,10000,round,10000,0.125,0.65,4
3,watch,1001,sharp,999,1000,10001,sharp,10000,0.15,0.65,4
3,laptop,5000,round,5000,5000,50,round,50,0.025,0.925,5
3,laptop,5000,round,5000,5000,51,sharp,50,0.05,0.925,5
3,laptop,5000,round,5000,5000,500,round,500,0.05,0.925,5
3,laptop,5000,round,5000,5000,501,sharp,500,0.05,0.925,5
