categoryID,type,featureSetNum,animal,normalizedProb,sd,se,ci
22,animal,4,owl,0.064572463,0.083635127,0.016095588,0.033084954
22,animal,5,owl,0.107693447,0.099140616,0.019079621,0.039218722
22,animal,6,owl,0.051812439,0.07333394,0.014113123,0.02900994
22,animal,7,owl,0.117286671,0.111543762,0.021466607,0.044125242
22,animal,8,owl,0.03833796,0.052999049,0.010199672,0.020965726
22,person,1,owl,0.088307229,0.062383476,0.012005706,0.024678081
22,person,2,owl,0.15899205,0.07125339,0.013712721,0.028186902
22,person,3,owl,0.095676314,0.084089505,0.016183033,0.0332647
22,person,4,owl,0.156236796,0.067861084,0.013059872,0.026844951
22,person,5,owl,0.08187392,0.053193638,0.01023712,0.021042702
22,person,6,owl,0.167673781,0.057090515,0.010987075,0.022584256
22,person,7,owl,0.094353481,0.071247033,0.013711498,0.028184388
22,person,8,owl,0.156886431,0.063447635,0.012210503,0.025099048
23,animal,1,ox,0.320934681,0.153881562,0.030178657,0.062154108
23,animal,2,ox,0.148921507,0.121183151,0.023765971,0.048946934
23,animal,3,ox,0.139769521,0.095298122,0.018689499,0.038491745
23,animal,4,ox,0.078215474,0.077530691,0.01520502,0.031315324
23,animal,5,ox,0.138312858,0.104740628,0.020541327,0.042305655
23,animal,6,ox,0.084505179,0.084832544,0.016637031,0.034264606
23,animal,7,ox,0.057443039,0.068610906,0.013455706,0.027712545
23,animal,8,ox,0.03189774,0.04155561,0.008149726,0.016784674
23,person,1,ox,0.148918366,0.058451295,0.011463242,0.023608989
23,person,2,ox,0.139163912,0.062203188,0.012199049,0.025124411
23,person,3,ox,0.127001362,0.041557649,0.008150126,0.016785498
23,person,4,ox,0.134749575,0.030761174,0.006032763,0.012424707
23,person,5,ox,0.128658892,0.032120398,0.006299328,0.012973709
23,person,6,ox,0.090967104,0.046245554,0.009069499,0.018678984
23,person,7,ox,0.128658429,0.037285034,0.007312197,0.015059751
23,person,8,ox,0.10188236,0.050781522,0.009959076,0.0205111
24,animal,1,penguin,0.331369245,0.193946271,0.039589117,0.081896328
24,animal,2,penguin,0.195846103,0.110422237,0.022539845,0.046627222
24,animal,3,penguin,0.15777101,0.099524586,0.020315371,0.042025547
24,animal,4,penguin,0.139420562,0.104189372,0.021267566,0.043995313
24,animal,5,penguin,0.043268017,0.0783171,0.015986411,0.033070411
24,animal,6,penguin,0.04472668,0.078449649,0.016013468,0.033126382
24,animal,7,penguin,0.04902714,0.066183739,0.013509699,0.027946942
24,animal,8,penguin,0.038571243,0.058963403,0.012035854,0.024898061
24,person,1,penguin,0.123857557,0.045983764,0.009386396,0.019417241
24,person,2,penguin,0.116813737,0.052202183,0.010655726,0.022043049
24,person,3,penguin,0.124878089,0.048160429,0.009830706,0.020336366
24,person,4,penguin,0.124704478,0.057281702,0.011692578,0.024187941
24,person,5,penguin,0.153457826,0.06794078,0.013868354,0.028688875
24,person,6,penguin,0.136416174,0.065636567,0.013398008,0.027715891
24,person,7,penguin,0.119000429,0.052936934,0.010805706,0.022353307
24,person,8,penguin,0.10087171,0.053599852,0.010941024,0.022633232
25,animal,1,pig,0.353409927,0.235628893,0.043755187,0.089628438
25,animal,2,pig,0.100287152,0.093673678,0.017394765,0.035631561
25,animal,3,pig,0.122075378,0.088989874,0.016525005,0.033849938
25,animal,4,pig,0.057958409,0.060560061,0.011245721,0.023035815
25,animal,5,pig,0.133006679,0.101809841,0.018905613,0.038726392
25,animal,6,pig,0.108127995,0.096378611,0.017897059,0.036660463
25,animal,7,pig,0.064103441,0.070726528,0.013133587,0.026902933
25,animal,8,pig,0.061031019,0.083356967,0.015479,0.031707294
25,person,1,pig,0.164889734,0.075876005,0.01408982,0.028861689
25,person,2,pig,0.074822486,0.059139821,0.010981989,0.022495585
25,person,3,pig,0.170637623,0.079554812,0.014772958,0.030261032
25,person,4,pig,0.087559173,0.122165592,0.022685581,0.046469306
25,person,5,pig,0.1044035,0.077072459,0.014311996,0.029316796
25,person,6,pig,0.1337367,0.073335411,0.013618044,0.027895299
25,person,7,pig,0.102617371,0.082621422,0.015342413,0.031427508
25,person,8,pig,0.161333414,0.090476133,0.016800996,0.03441528
26,animal,1,rabbit,0.317894375,0.164847895,0.029141266,0.059434004
26,animal,2,rabbit,0.182901169,0.122607882,0.021674216,0.044204855
26,animal,3,rabbit,0.077402115,0.07940837,0.014037549,0.02862977
26,animal,4,rabbit,0.099096906,0.094462411,0.016698753,0.034057331
26,animal,5,rabbit,0.135692585,0.113034137,0.019981801,0.040753152
26,animal,6,rabbit,0.096478023,0.082014551,0.014498261,0.029569399
26,animal,7,rabbit,0.035365309,0.039468276,0.006977071,0.014229831
