"age","gender","condition","sentenceID","funniness","workerID.anonym","punType"
25,"M",2,91,-0.673943137,17,"identical"
25,"M",2,99,0.495546425,17,"identical"
25,"M",2,113,-0.673943137,17,"identical"
25,"M",2,121,-0.673943137,17,"identical"
25,"M",2,129,-0.089198356,17,"identical"
25,"M",2,137,-0.673943137,17,"identical"
25,"M",2,145,-0.673943137,17,"identical"
25,"M",2,147,-0.673943137,17,"identical"
25,"M",2,155,-0.673943137,17,"identical"
25,"M",2,163,-0.673943137,17,"identical"
25,"M",2,177,-0.673943137,17,"identical"
25,"M",2,185,-0.673943137,17,"identical"
25,"M",2,193,-0.673943137,17,"identical"
25,"M",2,201,-0.673943137,17,"identical"
25,"M",2,209,-0.673943137,17,"identical"
25,"M",2,211,-0.673943137,17,"identical"
25,"M",2,219,-0.673943137,17,"identical"
25,"M",2,227,-0.673943137,17,"identical"
25,"M",2,235,-0.673943137,17,"identical"
35,"M",2,4,1.478332734,18,"identical"
35,"M",2,12,3.258366025,18,"identical"
35,"M",2,20,3.258366025,18,"identical"
35,"M",2,28,1.478332734,18,"identical"
35,"M",2,36,-0.301700558,18,"identical"
35,"M",2,46,-0.301700558,18,"identical"
35,"M",2,54,5.038399316,18,"identical"
35,"M",2,62,-0.301700558,18,"identical"
35,"M",2,67,-0.301700558,18,"identical"
35,"M",2,75,-0.301700558,18,"identical"
35,"M",2,83,-0.301700558,18,"identical"
35,"M",2,91,-0.301700558,18,"identical"
35,"M",2,99,-0.301700558,18,"identical"
35,"M",2,113,-0.301700558,18,"identical"
35,"M",2,121,-0.301700558,18,"identical"
35,"M",2,129,-0.301700558,18,"identical"
35,"M",2,137,-0.301700558,18,"identical"
35,"M",2,145,-0.301700558,18,"identical"
35,"M",2,147,-0.301700558,18,"identical"
35,"M",2,155,-0.301700558,18,"identical"
35,"M",2,163,-0.301700558,18,"identical"
35,"M",2,177,-0.301700558,18,"identical"
35,"M",2,185,-0.301700558,18,"identical"
35,"M",2,193,-0.301700558,18,"identical"
35,"M",2,201,-0.301700558,18,"identical"
35,"M",2,209,-0.301700558,18,"identical"
35,"M",2,211,-0.301700558,18,"identical"
35,"M",2,219,-0.301700558,18,"identical"
35,"M",2,227,-0.301700558,18,"identical"
35,"M",2,235,-0.301700558,18,"identical"
45,"F",2,4,-0.384318081,19,"identical"
45,"F",2,12,2.950206444,19,"identical"
45,"F",2,20,2.950206444,19,"identical"
45,"F",2,28,-0.384318081,19,"identical"
45,"F",2,36,-0.384318081,19,"identical"
45,"F",2,46,2.950206444,19,"identical"
45,"F",2,54,-0.384318081,19,"identical"
45,"F",2,62,-0.384318081,19,"identical"
45,"F",2,67,-0.384318081,19,"identical"
45,"F",2,75,-0.384318081,19,"identical"
45,"F",2,83,-0.384318081,19,"identical"
45,"F",2,91,-0.384318081,19,"identical"
45,"F",2,99,-0.384318081,19,"identical"
45,"F",2,113,-0.384318081,19,"identical"
45,"F",2,121,-0.384318081,19,"identical"
45,"F",2,129,-0.384318081,19,"identical"
45,"F",2,137,-0.384318081,19,"identical"
45,"F",2,145,-0.384318081,19,"identical"
45,"F",2,147,-0.384318081,19,"identical"
45,"F",2,155,-0.384318081,19,"identical"
45,"F",2,163,-0.384318081,19,"identical"
45,"F",2,177,-0.384318081,19,"identical"
45,"F",2,185,-0.384318081,19,"identical"
45,"F",2,193,-0.384318081,19,"identical"
45,"F",2,201,-0.384318081,19,"identical"
45,"F",2,209,-0.384318081,19,"identical"
45,"F",2,211,-0.384318081,19,"identical"
45,"F",2,219,-0.384318081,19,"identical"
45,"F",2,227,-0.384318081,19,"identical"
45,"F",2,235,-0.384318081,19,"identical"
35,"M",2,4,2.928963657,20,"identical"
35,"M",2,12,1.06411989,20,"identical"
35,"M",2,20,1.06411989,20,"identical"
35,"M",2,28,2.307349068,20,"identical"
